#word	valence	arousal	dominance	w
breast	6.5	5.37	5.39	0
breeze	6.85	4.37	5.54	0
bride	7.34	5.55	5.74	0
bright	7.5	5.4	6.34	0
broken	3.05	5.43	4.14	0
brother	7.11	4.71	5.12	0
brutal	2.8	6.6	4.59	0
building	5.29	3.92	5.25	0
bullet	3.29	5.33	3.9	0
bunny	7.24	4.06	4.97	0
burdened	2.5	5.63	5.03	0
burial	2.05	5.08	3.55	0
burn	2.73	6.22	4.22	0
bus	4.51	3.55	4.84	0
busybody	5.17	4.84	5.45	0
butter	5.33	3.17	4.67	0
butterfly	7.17	3.47	4.65	0
cabinet	5.05	3.43	4.73	0
cake	7.26	5	5.16	0
cancer	1.5	6.42	3.42	0
candy	6.54	4.58	5.33	0
cane	4	4.2	4.27	0
cannon	4.9	4.71	5.17	0
capable	7.16	5.08	6.47	0
car	7.73	6.24	6.98	0
carcass	3.34	4.83	4.9	0
carefree	7.54	4.17	5.78	0
caress	7.84	5.14	5.83	0
cash	8.37	7.37	6.96	0
casino	6.81	6.51	5.12	0
cat	5.72	4.38	6.16	0
cell	3.82	4.08	4.12	0
cellar	4.32	4.39	4.66	0
cemetery	2.63	4.82	4.27	0
chair	5.08	3.15	4.56	0
champ	7.18	6	6.77	0
champion	8.44	5.85	6.5	0
chance	6.02	5.38	4.64	0
chaos	4.17	6.67	3.86	0
charm	6.77	5.16	5.57	0
cheer	8.1	6.12	6	0
child	7.08	5.55	5.1	0
chin	5.29	3.31	5.26	0
chocolate	6.88	5.29	5.18	0
christmas	7.8	6.27	5.37	0
church	6.28	4.34	5	0
circle	5.67	3.86	5.03	0
circus	7.3	5.97	5.39	0
city	6.03	5.24	5.74	0
cliff	4.67	6.25	4.35	0
clock	5.14	4.02	4.67	0
clothing	6.54	4.78	5.33	0
clouds	6.18	3.3	5.22	0
clumsy	4	5.18	3.86	0
coarse	4.55	4.21	5	0
coast	5.98	4.59	5.67	0
cockroach	2.81	6.11	4.74	0
coffin	2.56	5.03	4.08	0
coin	6.02	4.29	5.66	0
cold	4.02	5.19	4.69	0
color	7.02	4.73	6.17	0
column	5.17	3.62	4.81	0
comedy	8.37	5.85	5.44	0
comfort	7.07	3.93	5.7	0
computer	6.24	4.75	5.29	0
concentrate	5.2	4.65	4.97	0
confident	7.98	6.22	7.68	0
confused	3.21	6.03	4.24	0
consoled	5.78	4.53	4.44	0
contempt	3.85	5.28	5.13	0
contents	4.89	4.32	4.85	0
context	5.2	4.22	5.17	0
controlling	3.8	6.1	5.17	0
cook	6.16	4.44	5.14	0
cord	5.1	3.54	5	0
