#Term	pleasantness	attention	sensitivity	aptitude	polarity
lean against	-0.05	0.162	-0.083	0.078	0.036
lean over	0.078	0.127	0.04	-0.062	0.034
leap	0.052	0.123	0	0.162	0.112
learn	0.842	0.829	0	0.888	0.853
learn art	-0.025	-0.173	0.033	-0.229	-0.038
learn book	-0.048	-0.108	0.08	-0.279	-0.1
learn computer	0	-0.049	0.056	-0.218	-0.075
learn computer language	0.918	0.988	0	0	0.635
learn culture	0.928	0.513	0	0.923	0.788
learn current event	-0.144	-0.138	0.037	-0.35	-0.131
learn dance	0.13	0.169	-0.071	0.221	0.15
learn disease	-0.319	0	-0.31	-0.159	-0.263
learn entertainment	0	-0.158	0.127	-0.316	-0.095
learn evolution	-0.141	-0.068	0.03	-0.19	-0.098
learn experience	-0.074	-0.146	0.037	-0.282	-0.082
learn fact	0.928	0.754	0	0	0.561
learn foreign language	-0.059	-0.09	0.106	-0.223	-0.099
learn game	0.034	-0.063	0.129	-0.1	-0.044
learn happen	-0.078	0.082	0	-0.096	-0.031
learn history	-0.029	-0.194	0.075	-0.192	-0.034
learn how	0	-0.04	0.111	-0.122	-0.064
learn how play	0.099	-0.033	0.097	-0.115	-0.027
learn how read	-0.056	0	0	-0.134	-0.063
learn how swim	-0.092	0	0	-0.055	-0.049
learn information	0.997	0.503	0	0.523	0.674
learn interest	0.751	0.6	0	0.536	0.629
learn knowledge	-0.086	-0.062	0.02	-0.219	-0.088
learn language	0.929	0.861	0	0.862	0.884
learn lesson	-0.359	0	-0.259	-0.086	-0.235
learn listen	-0.134	0	0	0	-0.045
learn love another	-0.131	0.075	-0.072	0	-0.043
learn material	-0.085	0	0	-0.056	-0.047
learn math	-0.087	0.098	0.106	0	-0.032
learn mathematics	-0.057	-0.045	0.111	-0.227	-0.117
learn much	-0.11	-0.025	0.022	-0.202	-0.103
learn music	0.966	0.839	0	0.848	0.884
learn new	0.746	0.896	0	0.594	0.538
learn new fact	0.735	-0.921	0	0.609	0.755
learn new idea	-0.06	-0.038	0	-0.228	-0.083
learn new information	0.671	-0.847	0	0.996	0.838
learn new language	0.714	0.737	0	0.867	0.773
learn new skill	0.682	0.912	0	0.728	0.774
learn new subject	0.807	0.54	0	0.634	0.66
learn new word	0.792	-0.998	0	0.663	0.818
learn news	0	-0.17	0.109	-0.349	-0.096
learn oneself	-0.038	-0.024	0.076	-0.203	-0.098
learn other culture	0.043	-0.137	0.106	-0.303	-0.076
learn patience	-0.096	-0.016	0.082	-0.268	-0.143
learn person	-0.043	-0.098	0.024	-0.152	-0.04
learn place	-0.04	-0.003	0	-0.063	-0.033
learn play	0.862	0.868	0	0.86	0.863
learn program	-0.035	-0.046	0.123	-0.231	-0.114
learn program language	0.889	0.812	0	0	0.567
learn quickly	-0.084	-0.044	0	-0.196	-0.079
learn read	-0.105	0	0	-0.13	-0.078
learn rule	0	-0.054	0.132	-0.077	-0.052
learn school	-0.083	-0.07	0.018	-0.229	-0.087
learn science	-0.036	-0.035	0.025	-0.056	-0.027
learn skill	0.804	0.971	0	0.989	0.921
learn sport	0	-0.069	0.089	-0.168	-0.063
learn subject	-0.046	-0.051	0.041	-0.084	-0.04
learn swim	0.02	0.07	0.019	0	0.024
learn think	-0.124	0.065	0.025	-0.149	-0.078
learn tool	-0.075	0	0	0	-0.025
learn universe	0	-0.134	0.105	-0.29	-0.087
learn walk	-0.159	0	0	-0.033	-0.064
learn weakness	-0.145	-0.004	0	-0.16	-0.1
learn world	0.535	0.531	0	0.858	0.641
learner	-0.102	0	0.012	-0.062	-0.059
lease	-0.059	0.116	-0.044	0.102	0.038
leave	0	0	0	0.094	0.031
leave alone	-0.146	-0.111	0.105	-0.223	-0.121
leave behind	-0.187	0.093	-0.171	0	-0.088
leave hand	0	0.097	0	0.085	0.061
leave home	-0.168	0	-0.05	0	-0.073
leave house	-0.055	0	0.028	0	-0.028
leave leg	0	-0.012	0.046	-0.07	-0.035
leave line	-0.04	-0.015	0.011	-0.069	-0.035
leave message	-0.073	0	0.019	-0.037	-0.043
leave museum	-0.135	-0.06	0.043	-0.21	-0.109
leave out	-0.444	-0.154	0	-0.364	-0.218
leave over	0.056	0	0	0.05	0.035
leave room	-0.098	-0.008	0	-0.059	-0.05
leave theater	-0.048	-0.089	0.028	-0.157	-0.048
leave tip	-0.06	0	-0.052	-0.039	-0.05
leave work	-0.095	0.072	-0.083	0	-0.035
lectern	0	0.214	0.012	0.208	0.137
lecture	-0.033	-0.049	-0.062	-0.048	-0.031
lecture hall	0	0	-0.079	0	-0.026
lecture theater	-0.032	-0.03	-0.05	-0.057	-0.036
lecturer	-0.032	-0.007	-0.055	-0.036	-0.039
ledger	0	0.108	0.03	0	0.026
leer	-0.115	0	-0.094	0.082	-0.042
left right	0.082	0.08	0.034	0.207	0.112
leftover	0.037	0.084	0	0	0.04
leg	-0.031	-0.05	0.058	-0.032	-0.024
leg cramp	-0.083	-0.093	0.072	-0.206	-0.089
leg hurt	-0.027	-0.081	0.015	-0.14	-0.034
leg tire	-0.041	-0.103	0.069	-0.11	-0.039
legal	0.1	0.134	0.013	0.124	0.115
legal document	-0.065	0.234	-0.11	0.156	0.072
legal person	0	0.114	0	0.083	0.066
legal proceed	0	0.168	-0.052	0.234	0.117
legal process	-0.049	0.184	-0.085	0.172	0.074
legality	-0.027	0.164	-0.061	0.137	0.071
legendary	0.898	0	0	0.78	0.559
legislation	0	0.178	-0.044	0.118	0.084
legislature	0.03	0.124	0	0.099	0.084
leisure	0.793	0.739	0	0	0.511
leisure time	0.867	0.714	0	0	0.527
lemonade	0.111	0	0	0	0.037
lend	-0.058	0.253	-0.165	0.209	0.08
length	0	0.071	0.106	0.14	0.035
length measurement	0	0.066	0.132	0.149	0.028
length width	0	0.124	0.103	0.195	0.072
lepton	0.02	0	0	0.087	0.036
lesbian	0.191	0.168	-0.162	0.131	0.109
lesser	0	0	0.18	0.095	-0.028
lesson	-0.048	-0.041	0	-0.066	-0.024
let	-0.074	0.345	-0.232	0.395	0.145
let body recover	0.05	-0.041	0.025	-0.162	-0.032
let down	-0.067	0	-0.164	0	-0.077
let go	-0.037	0.119	-0.049	0.156	0.063
let know	0	0	0.084	-0.061	-0.048
let off steam	0.18	-0.014	0	0	0.065
let win	-0.061	0	0	-0.081	-0.047
lethal	-0.112	-0.027	-0.091	-0.155	-0.11
letter	0.038	-0.039	0	0.079	0.052
letter alphabet	0.03	-0.009	0	0.089	0.043
letter slot	0.058	-0.049	0	0	0.036
level	0	0	0.011	0.094	0.028
levitate	0.037	0.214	-0.127	0.237	0.12
levity	0.897	0	0	0	0.299
liar	-0.775	0	0.742	-0.801	-0.773
liberate	-0.049	0	-0.207	0.108	-0.049
liberty	0.926	0.937	0	0.975	0.946
librarian	-0.047	-0.015	-0.048	-0.036	-0.039
licence	0	0.757	0	0.811	0.523
lick	0.074	0	-0.061	0.136	0.05
lick finger	-0.044	-0.008	0.022	-0.077	-0.045
lid	0.034	0.07	0.057	0.123	0.057
lie	-0.092	0	-0.101	0.122	-0.024
lie back	0.106	-0.04	0	-0.076	0.023
lie brick	-0.04	0.201	-0.111	0.17	0.073
lie court	-0.217	0.16	-0.194	0.057	-0.065
lie floor	0	0.123	-0.074	0.058	0.036
life	0.993	0.962	0	0.845	0.933
life-long mate	0.965	0.775	0	0.968	0.903
life end	-0.132	0.131	-0.258	0	-0.086
life form	0.043	0.117	-0.072	0.099	0.062
life like	0.044	-0.033	0.037	0.089	0.043
life preserver	0.029	-0.085	0.099	-0.087	-0.024
lifebelt	0.031	-0.015	0.013	-0.138	-0.035
lifeboat	0	-0.02	0.046	-0.111	-0.046
lifeguard	0	0	-0.058	-0.074	-0.044
lifeless	-0.543	0	-0.408	-0.036	-0.329
lifesaver	-0.061	0	-0.06	0	-0.04
lifestyle	0	0.095	0	0.05	0.048
lifestyle change	-0.149	0	-0.069	-0.187	-0.135
lifetime	0.086	-0.107	0.064	0	0.043
lift	0	0.142	-0.09	0.183	0.078
lift car	0	-0.115	0.11	-0.141	-0.045
lift heavy	0	0.164	-0.063	0.239	0.113
lift heavy object	0.033	0.104	-0.085	0.151	0.068
lift leg	-0.1	0	-0.07	-0.056	-0.075
lift object	-0.03	0.147	-0.088	0.189	0.073
lift spirit	0.995	0	0	0.718	0.571
lift up	0.613	0.678	-0.271	0.391	0.47
light instrument	-0.031	-0.004	-0.048	-0.144	-0.073
light red	-0.051	0	0.037	0	-0.029
light room	0	-0.01	-0.06	-0.041	-0.03
light sky	0.02	0.067	0	0	0.029
light source	0	-0.009	-0.121	0	-0.037
light weight	0.023	0	0	0.066	0.03
lighter air	0.02	-0.075	0	0	0.032
lightheartedness	0.69	0.626	-0.234	0.317	0.466
lightness	0.672	0.639	-0.241	0.314	0.461
lightsomeness	0.69	0.626	-0.234	0.317	0.466
lightweight	-0.17	-0.016	-0.071	0	-0.075
like	0.47	0.419	-0.318	0.367	0.313
like actor	0.097	-0.165	0.104	-0.275	-0.039
like art	0.701	0.786	0	0.594	0.694
like beer	0.186	-0.104	0.046	0	0.081
like boy	-0.083	0	0	0	-0.028
like candy	0	0.136	-0.098	0.213	0.084
like car	0.027	0	0.026	0.073	0.025
like cost	0	0.251	0	0.163	0.138
like eat	0.08	0.152	0	0.124	0.119
like electricity	0.061	0.17	-0.19	0.213	0.085
like flower	0.067	0.153	-0.054	0.111	0.092
like food	0.076	0.133	0	0.17	0.126
like girl	0.053	0.123	-0.124	0.069	0.04
like hill	0	0.087	0.022	0.142	0.069
like job	0.263	0	0.047	0.193	0.136
like movie	0.583	0.585	0	0.766	0.645
like music	0.08	-0.094	0.097	-0.186	-0.036
like orange	0.059	0	0	0.062	0.04
like paint	-0.023	0.132	0	0.134	0.081
like play	0.967	0.785	0	0.958	0.903
like play game	-0.122	0	0	-0.059	-0.06
like poetry	0.563	0.781	0	0.787	0.71
like price	0	0.254	0.017	0.148	0.128
like read	-0.055	-0.049	0.011	-0.117	-0.045
like river	0	0	0	0.099	0.033
like run	-0.046	0.091	0	0.185	0.077
like sea	-0.05	0.079	0	0.118	0.049
like see	0	0.075	0	0.159	0.078
like sleep	0.1	0.104	0	0	0.068
like song	0.087	-0.069	0.074	0	0.027
like sport	0.887	0	0	0	0.296
like street	0	0	0.078	0	-0.026
like taste	0.116	0.214	-0.268	0.251	0.104
like water	0.126	0.084	0.031	0.175	0.118
like women	0.884	0	0	0	0.295
likeable	0.532	0.655	-0.259	0.277	0.402
likely discover truth	0.102	0.07	0.025	0.153	0.1
liking	0.532	0.655	-0.259	0.277	0.402
limber up	-0.089	0	0	0	-0.03
lime	0	-0.015	0.037	-0.046	-0.023
limit	0	0.157	0	0.108	0.088
limit time	-0.038	0.255	-0.204	0.359	0.124
limitless	0.027	0	0.03	0.092	0.03
limousine	0.028	0	0.013	0.061	0.025
limp	0	0.069	0.031	0.149	0.062
line place	0.091	0	0	0.327	0.139
line up	-0.023	0.104	0	0	0.027
lingerie	0	-0.068	0.092	-0.098	-0.041
linguistics	-0.072	0.07	0	0.073	0.024
link	0.023	0.173	-0.098	0.182	0.093
linoleum	0	-0.068	0.073	-0.082	-0.029
lip balm	0.03	0	0.07	-0.078	-0.039
liquid	0.048	0	0	0.058	0.035
liquid beverage	0.113	0.093	0	0.09	0.099
liquid food	0.079	0.065	0.013	0.062	0.064
liquid gas	0.039	0	0	0.052	0.03
liquid measurement	0.02	0.082	0.126	0.137	0.038
liquid substance	0.061	0.118	0	0.145	0.108
liquid unit	-0.036	0.107	0.097	0.169	0.048
liquor store	0.158	-0.004	0.039	-0.029	0.031
list	0.113	0.126	0	0.11	0.116
list appointment	0	-0.024	0.022	-0.119	-0.039
list item	-0.081	0.131	0.018	0.068	0.033
list number	0	0.148	0.105	0.187	0.077
listen	0.064	-0.091	0.096	-0.18	-0.04
listen advice	-0.088	0	-0.059	-0.168	-0.105
listen bird	0.909	0.983	0	0	0.631
listen carefully	-0.048	-0.066	0.024	-0.143	-0.05
listen cd	0	0	0.082	-0.052	-0.045
listen good music	0.193	-0.136	0.076	-0.164	0.03
listen heart	-0.047	0	0.034	-0.08	-0.054
listen joke	0.799	0.922	0	0.946	0.889
listen lecture	0	0.923	0	0.922	0.615
listen music	0.853	0.762	0	0.733	0.783
listen music headphones	-0.046	-0.084	0.025	-0.167	-0.051
listen news	0	-0.15	0.122	-0.155	-0.042
listen orchestra	-0.027	-0.075	0.068	-0.149	-0.056
listen pleasure	0.233	-0.203	0.156	-0.202	0.026
listen problem	0	0	-0.139	0	-0.046
listen rock music	0.94	0.898	0	0.945	0.928
listen sermon	0.028	0.234	0	0.175	0.146
listen speaker	-0.054	-0.072	0.031	-0.17	-0.061
listen story	-0.077	0	0	-0.146	-0.074
listen tape	0.703	0.972	0	0	0.558
listen teacher	0.54	0.55	0	0.805	0.632
listener	0	0.081	0	0.09	0.057
listlessness	0.243	0.632	-0.238	0.145	0.261
literate	0	0.087	0	0	0.029
literature	0	0	-0.068	0	-0.023
litigation	0	0.255	-0.109	0.15	0.099
little child	-0.035	0	0.039	0	-0.025
little dense water	0.1	0.076	0	0.156	0.111
little effort	-0.05	0	0.014	-0.039	-0.034
little hair	-0.061	0	-0.081	-0.062	-0.068
little horse	0	-0.114	0.022	0.06	0.051
little hunger	0.198	0.15	-0.091	0	0.086
little hungry	0.757	0	0	0	0.252
little kid	0.068	0.069	-0.058	0.056	0.045
little money	-0.813	0	-0.809	0	-0.541
little pollution	-0.036	-0.082	0.053	-0.065	-0.024
little specific	0.07	0.151	-0.109	0.112	0.075
little water	-0.03	0	0.009	0.168	0.043
live	0.033	0.123	-0.154	0.183	0.062
live alone	-0.792	0	0	-0.848	-0.547
live apartment	-0.079	0.096	-0.114	0	-0.032
live area	0.033	0.079	0	0.177	0.096
live castle	-0.074	0	0	-0.062	-0.045
live city	0.045	0.078	-0.071	0.125	0.059
live country	0.172	0.138	0	0.097	0.136
live dangerously	0.054	-0.056	0	0	0.037
live environment	0.107	0.11	-0.084	0.21	0.114
live forever	-0.099	0	-0.089	0.05	-0.046
live good life	0.945	0.784	0	0.847	0.859
live healthy life	0.906	0.804	0	0.768	0.826
live healthy lifestyle	0.062	0.097	-0.094	0.11	0.058
live house	-0.041	0.121	-0.073	0.104	0.037
live human	0	0	0	0.069	0.023
live life	0.041	-0.023	-0.067	0.079	0.025
live long	0.879	0.884	0	0.979	0.914
live long happy life	0.849	0.79	0	0.793	0.811
live long healthy life	0.984	0.963	0	0.878	0.942
live long life	0.896	0.837	0	0.825	0.853
live long time	0.863	0.875	0	0.935	0.891
live meat	0	-0.013	0.038	-0.118	-0.048
live object	0.047	0.149	-0.069	0.131	0.086
live ocean	0.105	-0.052	0.087	0	0.023
live organism	0.03	0.078	0	0.101	0.07
live peace	0.601	0.768	0	0.941	0.77
live place	0	0.082	0	0.138	0.073
live quarter	0.023	0.074	0	0.139	0.079
live ripe old age	0.981	0.955	0	0.709	0.882
live simply	0.747	0.856	0	0.798	0.8
live space	0	0.08	0	0.151	0.077
live underground	0	0	0	-0.758	-0.253
live up to	0.783	0.595	-0.209	0.34	0.503
live water	0.05	0	0.036	0.103	0.039
live well	0.289	0.179	-0.091	0.276	0.218
livid	-0.115	0.115	0.67	-0.658	-0.443
lividity	-0.115	0.115	0.67	-0.658	-0.443
lividly	-0.115	0.115	0.67	-0.658	-0.443
load	0.044	0	0	0.144	0.063
load bear	0.154	0.254	-0.114	0.316	0.203
load dock	0	0.103	0	0	0.034
load gun	-0.079	-0.042	-0.054	-0.148	-0.08
loaf	0.028	-0.084	0.039	0.055	0.043
loafer	0.021	-0.043	0.107	-0.08	-0.041
loan	-0.052	0.264	-0.077	0.147	0.094
loathe	0	0	0	-0.717	-0.239
loathing	0	0	0	-1	-0.333
loathly	-0.089	0.158	0.659	-0.656	-0.415
loathsome	-0.075	0.142	0.685	-0.668	-0.429
local	0.123	0.19	-0.112	0.183	0.128
locate	-0.082	0.107	-0.05	0.185	0.053
locate information	0.878	0.723	0	0.952	0.851
locate place	-0.118	-0.02	0	0	-0.033
location	0.045	0.136	0	0.214	0.132
lock	0	0.069	0	0.083	0.051
lock box	0	0.207	-0.052	0.085	0.08
lock cabinet	-0.061	-0.007	-0.071	-0.187	-0.104
lock door	-0.073	-0.047	0.029	-0.045	-0.033
lock front door	-0.04	-0.036	0.045	-0.07	-0.04
lock up	-0.031	0	-0.064	-0.053	-0.049
locker	0	0.072	0	0	0.024
locker room	0	-0.048	0.01	-0.113	-0.025
locomotion	0	0	0	0.19	0.063
locomotive	0.069	0.097	0	0.172	0.113
lodge	0.058	0.075	0	0.09	0.074
log cabin	0.021	0	-0.044	-0.06	-0.028
logic	-0.08	0.25	-0.059	0.141	0.084
logical	-0.027	0.276	-0.063	0.169	0.118
logo	0	0	0.02	0.136	0.039
lollipop	0.023	0.141	-0.131	0.174	0.069
loneliness	-0.779	0	0	-0.784	-0.521
lonely	-0.048	0	-0.127	-0.034	-0.07
loner	-0.12	0.239	-0.181	0.165	0.034
long	0	0.065	0.039	0.142	0.056
long away	0.032	0.085	0.083	0.193	0.076
long car	0	-0.019	0.014	0.071	0.025
long distance	0.045	0.092	0.06	0.22	0.099
long haired man	0.051	-0.042	0.016	0	0.026
long happy life	0.888	0.801	0	0.76	0.816
long island	0.048	-0.032	0.09	-0.093	-0.034
long life	0.134	0.097	-0.109	0.104	0.075
long lifespan	0.947	0.919	0	0.927	0.931
long line	-0.064	0	-0.046	-0.135	-0.082
long live	0.891	0.885	0	0.956	0.911
long narrow	0	0.084	0.023	0.167	0.076
long short	0	0	0.023	0.126	0.034
long stick	0.058	-0.153	0.047	0.11	0.091
long term	0	0	0.113	0	-0.038
long thin	0	-0.019	0.063	0.126	0.027
long tube	0.165	-0.015	0.1	0	0.027
long version	0	0.067	0	0.11	0.059
longevity	0.097	0.099	-0.098	0.137	0.078
look	-0.043	0.11	0	0.116	0.061
look after	0.055	0.354	-0.362	0.257	0.101
look art	-0.137	-0.016	0	-0.135	-0.085
look attractive	0.153	0.102	-0.075	0.158	0.113
look away	-0.093	0	0.177	-0.232	-0.167
look bad	-0.914	0	0.879	-0.727	-0.84
look beautiful	0.844	0.742	0	0.844	0.81
look best	0.223	0.129	-0.144	0.176	0.128
look better	0.028	-0.015	0	0.087	0.043
look book	-0.094	0	0	-0.092	-0.062
look buy	-0.03	-0.046	0.07	-0.115	-0.056
look clock	-0.179	0.093	0	-0.083	-0.056
look closely	-0.081	0	-0.058	0	-0.046
look clue	-0.204	0.153	-0.098	0	-0.05
look different	-0.082	-0.089	-0.125	0	-0.039
look down	0	0	0	-0.979	-0.326
look evidence	-0.148	0.1	-0.081	0	-0.043
look eye	-0.083	0	-0.102	-0.079	-0.088
look fact	-0.253	0	-0.171	0	-0.141
look for	0.43	0.657	-0.285	0.244	0.349
look forward	0	0.917	0	0	0.306
look glass	0	0.069	0.025	0.074	0.039
look good	0.906	0.715	0	0.796	0.806
look great	0.879	0.949	0	0.821	0.883
look information	0	0.825	0	0	0.275
look job	0	0.068	0	0	0.023
look like	0.084	0.419	-0.18	0.278	0.2
look map	-0.079	0	0.012	0	-0.03
look menu	-0.051	-0.026	0.046	-0.08	-0.05
look mirror	-0.069	0	0	-0.047	-0.039
look neat	0.065	0	0.01	0.049	0.035
look newspaper	-0.13	-0.004	0	-0.067	-0.064
look nice	0.99	0.821	0	0.836	0.882
look night sky	0.356	0.09	0	0.26	0.235
look oneself mirror	-0.1	0.069	-0.102	0	-0.044
look out	-0.074	0.079	0	0.129	0.045
look out window	-0.113	-0.016	0	-0.136	-0.078
look over	0.755	0	0.938	-0.869	-0.351
look picture	-0.048	-0.09	0.057	-0.276	-0.097
look presentable	0.824	0.86	0	0.983	0.889
look pretty	0.073	0	-0.061	0.057	0.023
look scary	0.103	-0.065	0.013	0.13	0.095
look scenery	-0.088	-0.119	0.103	-0.131	-0.068
look sexy	0.072	0	-0.077	0.144	0.046
look sky	0.043	0	0	0.057	0.033
look smart	0.941	0	0	0.856	0.599
look through	-0.032	0	0.019	0.133	0.027
look truth	-0.078	0.082	0	-0.096	-0.031
look up	0	0.073	0	0	0.024
look up phone number	0	-0.034	0.135	-0.042	-0.048
look up to	0.575	0.636	-0.268	0.318	0.42
look up word dictionary	0	0.758	0	0	0.253
loom	0.056	0.105	0.786	-0.681	-0.435
loose	-0.098	-0.076	0.052	-0.089	-0.054
loose end	0	0	-0.06	-0.038	-0.033
loose money	-0.04	-0.072	0.117	-0.119	-0.068
loose track time	-0.032	-0.047	0.146	-0.185	-0.105
loosen muscle	0.072	0	0.013	0.124	0.061
loot	0	0.266	-0.083	0.073	0.085
lord	0.059	0.153	-0.051	0.144	0.102
lose	-0.87	-0.66	0.98	-0.76	-0.65
lose balance	0	0	-0.743	-0.821	-0.521
lose battle	-0.126	-0.034	-0.103	-0.184	-0.126
lose control	-0.203	-0.119	-0.047	-0.209	-0.113
lose credibility	0	0	0	-0.94	-0.313
lose election	-0.049	0.168	-0.079	0.09	0.043
lose find	0	0.086	-0.069	0.12	0.046
lose friend	-0.734	0	0	-0.735	-0.49
lose game	-0.081	-0.031	0.043	-0.124	-0.072
lose item	-0.032	0.2	-0.052	0.073	0.063
lose job	-0.126	0	0	-0.251	-0.126
lose key	-0.164	0	-0.06	-0.072	-0.099
lose lot money	-0.882	0	-0.966	-0.794	-0.881
lose memory	-0.154	-0.054	0	-0.06	-0.053
lose mind	-0.972	0	0.7	-0.964	-0.879
lose money	-0.856	0	0.814	-0.915	-0.862
lose place	-0.152	0	0	-0.149	-0.1
lose sleep	-0.913	0	0.849	-0.92	-0.894
lose soul	-0.242	0	-0.242	-0.047	-0.177
lose team	-0.759	-0.907	0.976	0	-0.276
lose temper	-0.922	0	0.845	-0.885	-0.884
lose time	-0.708	0	0.824	-0.93	-0.821
lose track time	-0.751	0	0.876	-0.942	-0.856
lose wallet	-0.809	0	0.718	-0.797	-0.775
lose war	-0.986	0	0.782	-0.878	-0.882
lose weight	0	0	0	0.071	0.024
loser	-0.87	-0.66	0.98	-0.76	-0.65
loss	-0.815	0	0.884	-0.87	-0.856
loss awareness	-0.171	-0.005	-0.159	-0.169	-0.165
loss breath	-0.048	0	-0.128	-0.075	-0.084
loss consciousness	-0.036	0	-0.197	-0.111	-0.115
loss freedom	-0.357	0	-0.278	0	-0.212
loss life	-0.816	0	-0.711	-0.8	-0.776
loss memory	-0.17	-0.024	0	-0.264	-0.137
loss money	-0.082	-0.032	0	-0.12	-0.057
lotion	0	-0.006	0	-0.097	-0.03
lottery	0	0	-0.167	0	-0.056
loud	0.043	0	0	0.112	0.052
loud cry	-0.065	-0.013	-0.099	0	-0.05
loud music	0.08	-0.028	0	0	0.036
loud noise	0.929	0	0.825	-0.853	-0.25
loud shout	-0.05	-0.008	-0.06	0	-0.034
loud soft	0.039	0	0.043	0.101	0.032
loudness	0.04	0	0.048	0.117	0.036
louse	0	0	0.941	-0.834	-0.592
louvre	0.04	0.112	-0.048	0	0.035
love	1	0	0	1	0.667
love affection	0.94	0	0	0.84	0.593
love animal	-0.134	0	0	-0.038	-0.057
love another person	0.892	0	0	0.813	0.568
love art	0.706	0.791	0	0.746	0.748
love back	0.083	0.153	-0.202	0.141	0.058
love family	0.802	0	0	0.739	0.514
love god	0.036	0.338	-0.312	0.29	0.117
love music	0.068	-0.105	0.118	-0.167	-0.037
love one	-0.055	0	-0.082	0.217	0.027
love oneself	0.049	0.239	-0.24	0.202	0.083
love other	0.741	0	0	0.989	0.577
love others	0.117	-0.083	-0.056	0	0.048
love parent	0.945	0	0	0.831	0.592
love person	0.731	0	0	0.974	0.568
love pet	0.867	0.802	0	0.793	0.821
lovely	0.725	0.775	0	0.725	0.742
lovely music	0.024	-0.091	0.118	-0.15	-0.051
lover	0.767	0	0	0.893	0.553
lovesome	0.223	0.642	-0.247	0.131	0.25
loving	0.494	0.673	-0.269	0.25	0.383
lovingly	0.494	0.673	-0.269	0.25	0.383
lovingness	0.528	0.673	-0.275	0.272	0.399
low	-0.774	0.248	-0.455	0	-0.327
low-spirited	-0.784	0.266	-0.45	-0.052	-0.34
low-spiritedness	-0.752	0.288	-0.434	-0.058	-0.319
low blood pressure	-0.852	0	-0.788	0	-0.547
low down	-0.294	0.076	-0.118	0.104	-0.077
low self-esteem	-0.757	0	0.733	-0.856	-0.782
lower blood pressure	0.125	-0.016	0	-0.054	0.029
lower body	-0.04	0	0.059	0	-0.033
lower body temperature	-0.724	0	-0.909	0	-0.544
lower expectation	-0.964	0	0	-0.879	-0.614
lower floor	0.039	-0.033	0	0	0.024
lower price	0.808	0	0	0.826	0.545
lower standard	-0.837	0	0	-0.77	-0.536
lower stress	0.201	-0.104	0.053	-0.166	0.029
lower tax	0.825	0	0	0.703	0.509
lowness	-0.752	0.288	-0.434	-0.058	-0.319
loyal	0.752	0.978	0.782	0.781	0.576
loyalty	0.997	0.796	0	0.89	0.894
lucid	-0.024	0.158	0	0.066	0.067
luck	0.97	0	0.773	0.878	0.358
lucky	0.994	0.862	0	0.899	0.918
luggage carrier	0.073	0.097	-0.059	-0.031	0.027
luggage compartment	0	-0.027	0	-0.098	-0.024
lull	0.506	0.659	-0.246	0.242	0.387
lullaby	0.845	0.789	0	0.806	0.813
lumber	0.024	-0.046	0	0	0.023
lunch break	-0.036	0.117	0	0	0.027
lung cancer	0.048	-0.034	-0.055	-0.149	-0.041
lunge	-0.056	0.119	-0.103	0.159	0.04
lust	0	0	0.909	-0.774	-0.561
luxury	0.757	0.882	0	0.78	0.806
lye	0.096	0	0	0	0.032
lyme disease	-0.436	-0.143	-0.068	-0.365	-0.242
lyric	0.091	-0.032	0.058	0.077	0.047
lyrics	0.071	-0.01	0.048	0.078	0.037
machete	-0.028	-0.041	0.03	-0.169	-0.062
machine	0.069	0.14	-0.064	0.108	0.084
machine gun	0	-0.049	0	-0.186	-0.046
machine metal	0	0.161	0	0.174	0.112
machine part	-0.091	0	0	0	-0.03
machine tool	-0.108	0.097	-0.088	0	-0.033
machine transportation	0	-0.01	0	0.065	0.025
machinery	0	0	0.022	0.145	0.041
machinist	0	0.105	-0.053	0.068	0.04
mad	0	0	0.839	-0.875	-0.571
mad cow disease	0	0	-0.779	-0.7	-0.493
maddened	-0.137	0.145	0.624	-0.638	-0.418
maddening	-0.127	0.13	0.647	-0.648	-0.431
made out of plastic	-0.054	0.092	0	0.132	0.057
madman	-0.061	-0.003	-0.092	0	-0.05
madness	0	0	-0.92	-0.884	-0.601
madonna	0.057	0.141	-0.064	0.162	0.099
maggot	0	0	0.109	-0.034	-0.048
magic	0.793	-0.953	0	0	0.582
magic trick	0.818	0.913	0	0.825	0.852
magical	0.082	0.075	-0.207	0.235	0.062
magician	0	0.918	0	0	0.306
magnet	0.057	0	0.012	0.08	0.042
magnetism	0.08	0	0.035	0.093	0.046
magnify	-0.047	0	0.06	-0.047	-0.051
magnify glass	0	0.08	0	0	0.027
magnitude	0.052	0.109	0.086	0.116	0.064
magnolia	0	0	0	0.081	0.027
mahogany	0	-0.072	0	0	0.024
mail delivery	-0.025	0.122	-0.047	0.188	0.079
mail package	0	-0.124	0	0.105	0.076
mailman	0.031	0	0	0.093	0.041
maim	-0.143	-0.025	-0.143	-0.147	-0.136
main	0.02	0.109	-0.051	0.091	0.056
main artery	0	0	-0.068	-0.106	-0.058
main traffic artery	0	-0.011	0.009	-0.129	-0.042
maintain	0	0.217	-0.107	0.199	0.103
maintain balance	0.213	-0.067	0.08	0	0.067
maintain good health	0.031	0	-0.12	0.162	0.024
maintain relationship	0.792	0.803	0	0.646	0.747
maintenance	0	0.173	-0.106	0.173	0.08
maize	0	0.074	0.032	0.058	0.033
majestic	0.078	0.111	0.014	0.221	0.132
major	-0.223	0	-0.128	-0.135	-0.162
majority	0.059	0.105	-0.069	0.099	0.065
