#Term	pleasantness	attention	sensitivity	aptitude	polarity
agitation	-0.712	0	0.928	-0.741	-0.794
agony	-0.858	0	0.791	-0.788	-0.812
agree	0.723	0	0	0.98	0.568
agree disagree	-0.103	0.086	-0.074	-0.03	-0.04
agreement	0.808	0	0	0.943	0.584
agricultural	0	0.094	0.02	0.09	0.055
agricultural product	0	0.073	0.052	0.082	0.034
agriculture	0	0.08	0.012	0.067	0.045
ahead	0.844	0	0	0	0.281
aid	0.751	0	0	0.716	0.489
aide	0	0	0	0.876	0.292
ail	-0.732	0	0.865	-0.878	-0.825
ailment	-0.185	0.071	-0.17	-0.176	-0.153
aim	0.023	0.106	0.012	-0.028	0.03
air breathe	0.032	0.106	-0.065	0	0.024
air grievance	-0.848	0	0.969	-0.85	-0.889
air pollution	-0.706	0	0	-0.9	-0.535
air pump	0	-0.053	0.055	-0.068	-0.023
air tank	-0.045	0.118	-0.069	0.102	0.035
air ticket	0.034	-0.009	0.043	-0.093	-0.031
air traffic controller	0.037	-0.046	0.036	-0.115	-0.023
aircraft	0	-0.03	0	-0.105	-0.025
aircraft carrier	0	-0.007	0	-0.152	-0.048
aircraft roadway	0.054	-0.003	0.038	-0.129	-0.037
airline seat	0.034	-0.054	0.04	-0.123	-0.025
airplane	0	-0.035	0.034	-0.1	-0.033
airplane engine	0.03	-0.096	0.065	-0.194	-0.044
airplane seat	0	-0.058	0.03	-0.109	-0.027
airport	0	0	0	-0.083	-0.028
airport terminal	0	-0.01	0	-0.079	-0.023
alarm	0	0	-0.775	-0.855	-0.543
alarm clock ring	-0.024	0.093	-0.068	0.079	0.027
alarmed	-0.46	0.393	-0.186	-0.173	-0.142
alcohol drink	0.074	0	0	0	0.025
alcoholic beverage	0	0	0	-0.912	-0.304
alcoholic drink	0	0	0	-0.964	-0.321
alcoholism	-0.799	0	0	-0.811	-0.537
ale	0.143	0	0.013	0	0.043
alert	0	0.948	0	0	0.316
algebra	0	0	0.101	0	-0.034
alias	0.056	0.183	-0.126	0.188	0.1
alibi	-0.105	0	0	-0.167	-0.091
alien	-0.038	0.118	0.472	-0.469	-0.287
alienate	-0.106	0.176	0.629	-0.642	-0.4
alienated	-0.106	0.176	0.629	-0.642	-0.4
alienation	-0.106	0.176	0.629	-0.642	-0.4
alike	0	0.213	-0.073	0.308	0.149
alimony	-0.063	0.19	-0.138	0.102	0.03
alive	0.027	0.132	-0.06	0.182	0.094
all of it	0.038	0.204	0	0.258	0.167
all right	0.065	0.351	-0.173	0.395	0.213
allay	0.615	0.643	-0.247	0.29	0.434
allergic reaction	0.069	0.076	0	0.061	0.069
allergy	-0.961	0	0.848	-0.824	-0.878
allotment	0	0.108	0.029	0.09	0.056
allow	0	0	0	0.964	0.321
allowance	0.924	0.968	0	0.876	0.923
almighty	0.064	0.225	-0.091	0.232	0.143
almond	0.128	0	0	0.092	0.073
almost always	-0.046	0	-0.116	0	-0.054
almost complete	0.445	0.37	-0.142	0.483	0.385
almost fall	0	0	-0.903	0	-0.301
alms	0.053	0.248	-0.185	0.258	0.125
alone	-0.81	0	-0.901	0	-0.57
alone long time	-0.921	0	0.779	-0.704	-0.801
aloofness	-0.93	0	0	-0.726	-0.552
alphabet	0.03	0.068	-0.095	0.139	0.047
altar	0.027	0.24	0	0.226	0.164
alter	-0.039	0.224	0	0.221	0.135
alter state consciousness	0.119	0.197	-0.263	0.153	0.069
alternate	0	0	-0.081	0.167	0.029
alternative	0.02	0.277	-0.119	0.336	0.171
altitude	0.023	0.113	0.053	0.153	0.079
altruistic	0.075	0.252	-0.147	0.186	0.122
always read	-0.041	0.226	-0.143	0.255	0.099
amative	0.531	0.673	-0.276	0.275	0.401
amatory	0.531	0.673	-0.276	0.275	0.401
amaze	0	-0.735	0	0	0.245
amaze friend	0	-0.141	0.068	-0.182	-0.036
amazed	0.045	-0.662	0	0.363	0.357
amazement	0	-1	0	0	0.333
amazing	0.045	-0.662	0	0.363	0.357
amazingly	0.045	-0.664	0	0.363	0.357
ambassador	0.029	0.157	-0.074	0.12	0.077
ambition	0.053	0.207	-0.073	0.165	0.117
ambulance	0	0	-0.131	-0.149	-0.093
amendment	0	0.173	-0.067	0.126	0.077
american	0	0.195	0	0.097	0.097
american coin	0	0.09	0.077	0.069	0.027
american express	0.035	0.267	-0.097	0.093	0.099
american flag	0.076	0.067	0	0.056	0.066
american money	0	0.112	0.071	0.089	0.043
american sport	0	-0.081	0	0.075	0.052
amiable	0.206	0.151	-0.165	0.169	0.12
amicability	0.608	0.647	-0.266	0.325	0.438
amicable	0.608	0.647	-0.266	0.325	0.438
amicableness	0.608	0.647	-0.266	0.325	0.438
amicably	0.608	0.647	-0.266	0.325	0.438
ammunition	-0.032	-0.037	0	-0.171	-0.055
amnesia	-0.969	0	0.907	-0.959	-0.945
amok	-0.072	0.192	0.634	-0.635	-0.383
amorous	0.531	0.673	-0.276	0.275	0.401
amorousness	0.531	0.673	-0.276	0.275	0.401
amount	0	0.236	0.031	0.158	0.121
amount charge	0	0.266	0	0.141	0.136
amount due	-0.048	0.268	0	0.158	0.126
amount money	-0.026	0.254	0	0.147	0.125
amount nothing	-0.122	-0.006	-0.143	0.061	-0.066
amount owe	-0.063	0.288	-0.095	0.171	0.1
amount pay	-0.041	0.263	0	0.159	0.127
amount water	-0.059	0.073	0.073	0.158	0.033
amour	0.982	0.851	0	0.902	0.912
amour propre	0.469	0.661	-0.249	0.23	0.37
amplitude	0.023	0.096	0.021	0.175	0.091
amuck	-0.072	0.192	0.634	-0.635	-0.383
amuse child	0.987	0	0	0.868	0.618
amuse oneself	0.959	0	0	0.929	0.629
amusement	0.969	0.817	0	0.828	0.871
amusement ride	0.114	0	-0.058	0.114	0.057
anagram	0	0	0.041	0.172	0.044
analgesic	-0.031	-0.009	-0.109	-0.206	-0.112
analysis	-0.102	0.176	0	0	0.025
analyze	-0.1	-0.077	0.051	-0.238	-0.104
anarchism	0	0.269	-0.17	0.182	0.094
anarchy	-0.868	0	0.859	-0.918	-0.882
ancient rome	-0.038	0.092	0.07	0.1	0.028
angel	0.99	0	0	0.982	0.657
anger	-0.339	-0.14	0.217	-0.584	-0.333
anger person	0.062	-0.223	0.117	-0.064	0.035
angered	-0.137	0.145	0.624	-0.638	-0.418
angle	0.039	0.08	0.091	0.067	0.032
angle grinder	0	-0.041	0	-0.158	-0.039
angrily	-0.161	0.179	0.568	-0.612	-0.387
angry	0	0	0.869	0	-0.29
angry emotion	0	0	0.959	0	-0.32
angry mob	-0.211	0.078	-0.146	-0.117	-0.132
angry person	0	-0.005	-0.048	-0.155	-0.066
angst	-0.878	0	0.924	-0.966	-0.923
anguish	-0.585	0	-0.391	-0.182	-0.386
animal dwell	0	0	0.022	0.126	0.035
animal eat	0	0.105	0.015	0.068	0.053
animal enclosure	0	0.073	0.025	0.131	0.06
animal flesh	0	0.083	0	0	0.028
animal fur	0	0	0.07	0	-0.023
animal hide	-0.104	-0.032	0.057	-0.052	-0.06
animal house	0	0.076	0.024	0.137	0.063
animal live	0	0.088	0	0.088	0.059
animal person	0.094	0.263	-0.279	0.222	0.1
animal place	0	0.1	0.023	0.122	0.066
animal plant	0.054	0	0	0.056	0.037
animal skin	-0.026	0	0.05	0	-0.025
animal sound	0.029	0	0	0.112	0.047
animate	0.056	0.165	-0.118	0.228	0.11
animation	0.055	-0.036	-0.077	0.147	0.054
anime	0.037	0	-0.058	0.134	0.038
animosity	-0.989	0	0.871	-0.976	-0.945
animus	0	0.146	0.723	-0.665	-0.414
ankle	-0.037	-0.027	0.065	-0.029	-0.035
annex	0	0.31	-0.257	0.286	0.113
anniversary	0.124	-0.195	-0.124	0.063	0.086
anniversary gift	0.042	-0.102	-0.168	0.164	0.047
announcement	0	0.074	-0.105	0.202	0.057
annoy	0	0	0.784	0	-0.261
annoy bug	-0.029	-0.037	0.165	-0.121	-0.093
annoy mom	0	-0.055	0.087	-0.11	-0.047
annoy neighbor	0	0	0.762	0	-0.254
annoy other person	-0.106	0	0	-0.072	-0.059
annoy person	0	-0.039	0.028	-0.137	-0.042
annoyance	0	0	0.3	0	-0.1
annoyed	-0.141	0.098	0.662	-0.656	-0.454
annoying	-0.141	0.098	0.662	-0.656	-0.454
annual celebration	0.164	-0.087	-0.062	0	0.063
anomic	-0.106	0.176	0.629	-0.642	-0.4
another activity	0.047	0	0	0.171	0.073
another house	0.032	0.158	-0.085	0.248	0.118
another name	0	0.066	-0.058	0.095	0.034
another person	0.099	0.167	-0.059	0.165	0.124
another planet	0	0	-0.062	-0.039	-0.034
answer	-0.075	0.121	-0.138	0.214	0.041
answer back	-0.067	0.073	-0.07	0.197	0.044
answer phone	-0.039	-0.003	0.034	0	-0.023
